2025-07-20 22:23:55 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:23:55 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:23:57 - URI Original: /artesanoDigital/carrito, URI Procesada: /carrito
2025-07-20 22:23:57 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:23:57 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:23:57 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:24:28 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:24:58 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:25:28 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:25:36 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:25:36 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:25:36 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:25:37 - URI Original: /artesanoDigital/artesano/tienda, URI Procesada: /artesano/tienda
2025-07-20 22:25:37 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:25:37 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:25:42 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:25:42 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:25:42 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:25:42 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:25:42 - URI Original: /artesanoDigital/artesano/ventas, URI Procesada: /artesano/ventas
2025-07-20 22:25:42 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:25:42 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:25:42 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:25:44 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:25:44 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:25:44 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:26:14 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:38:17 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:38:17 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:38:17 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:38:17 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:38:18 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:38:18 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:38:18 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:38:18 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:38:18 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:38:18 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:38:18 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:38:18 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:38:18 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
ro1.jpg
2025-07-20 22:38:18 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:38:19 - URI Original: /artesanoDigital/dashboard/artesano, URI Procesada: /dashboard/artesano
2025-07-20 22:38:19 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:38:19 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:38:36 - URI Original: /artesanoDigital/artesano/productos/crear, URI Procesada: /artesano/productos/crear
2025-07-20 22:38:36 - URI Original: /artesanoDigital/artesano/dashboard?mensaje=Producto%20creado%20correctamente&tipo=success, URI Procesada: /artesano/dashboard
2025-07-20 22:38:36 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:38:36 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:38:36 - URI Original: /artesanoDigital/api/notificaciones, URI Procesada: /api/notificaciones
2025-07-20 22:38:51 - URI Original: /artesanoDigital/, URI Procesada: 
2025-07-20 22:38:51 - URI Original: /artesanoDigital/productos/mola1.jpg, URI Procesada: /productos/mola1.jpg
2025-07-20 22:38:51 - URI Original: /artesanoDigital/productos/sombrero1.jpg, URI Procesada: /productos/sombrero1.jpg
2025-07-20 22:38:51 - URI Original: /artesanoDigital/productos/pulsera1.jpg, URI Procesada: /productos/pulsera1.jpg
2025-07-20 22:38:51 - URI Original: /artesanoDigital/productos/plato1.jpg, URI Procesada: /productos/plato1.jpg
g
2025-07-20 22:38:51 - URI Original: /artesanoDigital/productos/huipil1.jpg, URI Procesada: /productos/huipil1.jpg
2025-07-20 22:38:51 - URI Original: /artesanoDigital/productos/bolso1.jpg, URI Procesada: /productos/bolso1.jpg
